"ResourceGroupName","EventTimestamp"
"test-3","31-08-2022 04:12:00"
"ResourceGroupName","EventTimestamp"
"test-2","31-08-2022 04:11:33"
"ResourceGroupName","EventTimestamp"
"cloud-shell-storage-centralindia","01-09-2022 05:48:49"
"ResourceGroupName","EventTimestamp"
"Container-Dev","31-08-2022 04:06:17"
"ResourceGroupName","EventTimestamp"
"test-1","31-08-2022 04:11:16"
